OBJECTID_12,Join_Count,TARGET_FID,CT20,LABEL,NAME,SUP_NAME,DIST_SUP,CITYNAME_ALF,NAME_1,JURISDICTION,AREA_NUM,AREA_NAME,Shape__Area,Shape__Length
2437,1,2437,920119,9201.19,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,,SANTA CLARITA VALLEY,UNINCORPORATED AREA,2,Santa Clarita Valley Planning Area,7359903.926,12549.79487
2438,1,2438,920120,9201.2,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,,SANTA CLARITA VALLEY,UNINCORPORATED AREA,2,Santa Clarita Valley Planning Area,10848751.7,16835.36165
2440,1,2440,920200,9202,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,,SANTA CLARITA VALLEY,UNINCORPORATED AREA,2,Santa Clarita Valley Planning Area,16760409.26,23863.17409
2441,2,2441,920303,9203.03,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,,OAT MOUNTAIN,UNINCORPORATED AREA,2,San Fernando Valley Planning Area,75776612.05,50494.19312
2446,2,2446,920326,9203.26,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,,SANTA CLARITA VALLEY,UNINCORPORATED AREA,2,Santa Clarita Valley Planning Area,107901229.3,59757.06938
2453,1,2453,920338,9203.38,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,,SANTA CLARITA VALLEY,UNINCORPORATED AREA,2,Santa Clarita Valley Planning Area,5481003.363,12655.91318
2454,1,2454,920339,9203.39,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,,SANTA CLARITA VALLEY,UNINCORPORATED AREA,2,Santa Clarita Valley Planning Area,50275627.88,32338.29637
2459,3,2459,930400,9304,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,,ANTELOPE VALLEY,UNINCORPORATED AREA,1,Antelope Valley Planning Area,2195480322,349050.8138
2462,1,2462,980003,9800.03,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,,ANTELOPE VALLEY,UNINCORPORATED AREA,1,Antelope Valley Planning Area,286985436.5,101175.5746
2495,1,2495,980039,9800.39,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,,UNIVERSAL CITY,UNINCORPORATED AREA,3,San Fernando Valley Planning Area,1990661.992,7196.70343
