OBJECTID_12,Join_Count,TARGET_FID,CT20,LABEL,NAME,SUP_NAME,DIST_SUP,CITYNAME_ALF,NAME_1,JURISDICTION,AREA_NUM,AREA_NAME,Shape__Area,Shape__Length
2107,1,2107,602302,6023.02,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,HAWTHORNE,,INCORPORATED CITY,11,South Bay Planning Area,2834489.859375,8394.41607928904
2108,1,2108,602402,6024.02,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,HAWTHORNE,,INCORPORATED CITY,11,South Bay Planning Area,1922665.14453125,6440.77461283516
2109,1,2109,602403,6024.03,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,HAWTHORNE,,INCORPORATED CITY,11,South Bay Planning Area,852645.83203125,3699.86595965299
2110,1,2110,602404,6024.04,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,HAWTHORNE,,INCORPORATED CITY,11,South Bay Planning Area,939891.70703125,4162.3871846945
2111,1,2111,602504,6025.04,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,HAWTHORNE,,INCORPORATED CITY,11,South Bay Planning Area,467848.80859375,2909.22238057125
2112,1,2112,602505,6025.05,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,HAWTHORNE,,INCORPORATED CITY,11,South Bay Planning Area,470967.43359375,2912.31035215344
2113,1,2113,602506,6025.06,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,HAWTHORNE,,INCORPORATED CITY,11,South Bay Planning Area,472551.1328125,2902.15639712846
2114,1,2114,602507,6025.07,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,HAWTHORNE,,INCORPORATED CITY,11,South Bay Planning Area,469543.68359375,2907.27099470733
2115,1,2115,602510,6025.10,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,HAWTHORNE,,INCORPORATED CITY,11,South Bay Planning Area,472488.62109375,2920.27688138123
2116,1,2116,602511,6025.11,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,HAWTHORNE,,INCORPORATED CITY,11,South Bay Planning Area,497490.66015625,3176.95838906315
2117,1,2117,602512,6025.12,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,,HAWTHORNE ISLAND,UNINCORPORATED AREA,11,South Bay Planning Area,439086.53125,2903.97627346113
2118,1,2118,602513,6025.13,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,HAWTHORNE,,INCORPORATED CITY,11,South Bay Planning Area,2619384.1953125,7815.13877229671
2119,1,2119,602601,6026.01,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,GARDENA,,INCORPORATED CITY,9,South Bay Planning Area,1889824.4453125,5836.53031624783
2120,1,2120,602602,6026.02,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,GARDENA,,INCORPORATED CITY,11,South Bay Planning Area,944421.62890625,3886.04479438895
2121,1,2121,602700,6027.00,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,HAWTHORNE,W ATHENS - WESTMONT,INCORPORATED/UNINCORPORATED,9,Metro Planning Area,3615407.6875,7924.08701699952
2122,1,2122,602801,6028.01,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,,W ATHENS - WESTMONT,UNINCORPORATED AREA,9,Metro Planning Area,1825647.671875,5796.03319052532
2123,1,2123,602802,6028.02,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,,W ATHENS - WESTMONT,UNINCORPORATED AREA,9,Metro Planning Area,1944090.4375,5893.33404602904
2124,1,2124,602900,6029.00,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,GARDENA,,INCORPORATED CITY,9,South Bay Planning Area,4072686.8125,10022.8174797752
