TractNum,Location,Total Unsheltered,Total Sheltered,Total Population
121600,North Hollywood West NC,31.894,0,31.894
121801,North Hollywood Northeast NC,7.743,0,7.743
121802,North Hollywood Northeast NC,46.337,206,252.34
121900,Sun Valley Area NC,47.107,202,249.11
122000,North Hollywood West NC,62.206,0,62.206
122120,Sun Valley Area NC,0,0,0
122121,Sun Valley Area NC,4.794,0,4.794
122122,Sun Valley Area NC,72.578,4,76.578
122200,Sun Valley Area NC,55.6,0,55.6
122410,North Hollywood Northeast NC,43.874,0,43.874
122420,North Hollywood Northeast NC,31.91,0,31.91
123010,Sun Valley Area NC,68.248,0,68.248
123020,Sun Valley Area NC,39.669,0,39.669
123103,Mid-Town North Hollywood NC,42.539,0,42.539
123104,Mid-Town North Hollywood NC,3.388,0,3.388
123203,North Hollywood Northeast NC,24.984,0,24.984
123204,North Hollywood Northeast NC,5.002,0,5.002
123205,North Hollywood Northeast NC,17.042,0,17.042
123206,Mid-Town North Hollywood NC,38.167,6,44.167
123301,North Hollywood Northeast NC,27.23,0,27.23
123303,North Hollywood West NC,23.303,0,23.303
123304,North Hollywood West NC,75.438,0,75.438
123410,North Hollywood West NC,6.047,0,6.047
123420,Greater Valley Glen NC,48.281,0,48.281
123510,Greater Valley Glen NC,6.912,0,6.912
123520,Greater Valley Glen NC,6.912,0,6.912
123601,Greater Valley Glen NC,26.717,0,26.717
123602,Greater Valley Glen NC,12.2,0,12.2
123700,Greater Valley Glen NC,8.121,0,8.121
123800,Greater Valley Glen NC,151.42,6,157.42
123901,Mid-Town North Hollywood NC,105.55,0,105.55
123902,Mid-Town North Hollywood NC,8.851,0,8.851
124000,Valley Village NC,1.576,0,1.576
124102,Mid-Town North Hollywood NC,13.668,0,13.668
124103,Mid-Town North Hollywood NC,6.388,0,6.388
124104,Mid-Town North Hollywood NC,13.878,0,13.878
124105,Mid-Town North Hollywood NC,33.858,0,33.858
124201,Mid-Town North Hollywood NC,1.425,0,1.425
124203,Mid-Town North Hollywood NC,5.545,0,5.545
124204,Mid-Town North Hollywood NC,8.388,0,8.388
124300,Mid-Town North Hollywood NC,54.815,0,54.815
124400,Greater Valley Glen NC,2.64,0,2.64
124500,Greater Valley Glen NC,1,0,1
124600,Sherman Oaks NC,1.523,0,1.523
124700,Sherman Oaks NC,9.243,0,9.243
124902,Valley Village NC,3.218,0,3.218
124903,Valley Village NC,1,0,1
125100,Valley Village NC,26.486,0,26.486
125200,Valley Village NC,127.39,0,127.39
125310,Mid-Town North Hollywood NC,35.385,0,35.385
125320,Mid-Town North Hollywood NC,18.091,0,18.091
125401,Mid-Town North Hollywood NC,9.047,0,9.047
125402,Mid-Town North Hollywood NC,20.566,0,20.566
125501,Mid-Town North Hollywood NC,9.919,0,9.919
125502,Mid-Town North Hollywood NC,4.621,0,4.621
125600,Greater Toluca Lake NC,1,0,1
127102,Van Nuys NC,13.767,22,35.767
127103,Van Nuys NC,10.672,0,10.672
127104,Van Nuys NC,3.915,0,3.915
127210,Van Nuys NC,40.809,0,40.809
127220,Van Nuys NC,9.924,0,9.924
127300,Van Nuys NC,23.217,0,23.217
127400,Lake Balboa NC,46.622,0,46.622
127520,North Hills East NC,21.885,0,21.885
127603,Lake Balboa NC,4.27,0,4.27
127604,Lake Balboa NC,18.519,0,18.519
127605,Lake Balboa NC,6.264,0,6.264
127606,Lake Balboa NC,4.523,0,4.523
127711,Van Nuys NC,37.474,0,37.474
127712,Van Nuys NC,8.264,0,8.264
127803,Van Nuys NC,4.851,0,4.851
127804,Van Nuys NC,3.119,0,3.119
127805,Van Nuys NC,43.249,0,43.249
127806,Van Nuys NC,37.855,0,37.855
127910,Van Nuys NC,19.917,0,19.917
127920,Van Nuys NC,15.936,0,15.936
128101,Greater Valley Glen NC,4.315,0,4.315
128102,Van Nuys NC,37.791,0,37.791
128210,Van Nuys NC,52.977,0,52.977
128220,Greater Valley Glen NC,12.117,0,12.117
128302,Van Nuys NC,26.752,0,26.752
128303,Van Nuys NC,9.196,0,9.196
128400,Van Nuys NC,107.28,0,107.28
128500,Sherman Oaks NC,17.172,0,17.172
128601,Van Nuys NC,94.222,0,94.222
128602,Sherman Oaks NC,6.696,0,6.696
128702,Sherman Oaks NC,8.774,0,8.774
128801,Sherman Oaks NC,3.218,0,3.218
128802,Sherman Oaks NC,0,0,0
128910,Sherman Oaks NC,10.132,0,10.132
131010,Reseda NC,1.425,0,1.425
131020,Reseda NC,15.317,0,15.317
131100,Lake Balboa NC,0,0,0
131200,Northridge South NC,0,0,0
131300,Reseda NC,6.425,0,6.425
131400,Reseda NC,10.372,0,10.372
131600,Reseda NC,7.508,0,7.508
131701,Reseda NC,0,0,0
131702,Reseda NC,1.694,0,1.694
131800,Reseda NC,9.794,0,9.794
131900,Lake Balboa NC,0,0,0
132001,Lake Balboa NC,0,0,0
132002,Lake Balboa NC,1.425,0,1.425
132101,Lake Balboa NC,3.694,0,3.694
132102,Lake Balboa NC,21.319,0,21.319
132300,Reseda NC,12.742,0,12.742
132501,Reseda NC,0,0,0
132502,Reseda NC,13.572,0,13.572
132700,Reseda NC,34.171,0,34.171
132900,Tarzana NC,23.548,0,23.548
133000,Reseda NC,17.475,0,17.475
